timer	TimeStampUTC	Longitude	Latitude	Altitude	horAccuracy	verAccuracy
8787	1266800850239	-122.158747200	47.770745733	6.000000000	47.421633550	70.281001376
14444	1266800856587	-122.158747200	47.770745733	6.000000000	47.421633550	70.281001376
22014	1266800864938	-122.158747200	47.770745733	6.000000000	47.421633550	70.281001376
24048	1266800867030	-122.158747200	47.770745733	6.000000000	47.421633550	70.281001376
24722	1266800867033	-122.158747200	47.770745733	6.000000000	47.421633550	70.281001376
25402	1266800867033	-122.158747200	47.770745733	6.000000000	47.421633550	70.281001376
26086	1266800869125	-122.158747200	47.770745733	6.000000000	76.356885915	113.175756568
26767	1266800869126	-122.158747200	47.770745733	6.000000000	76.356885915	113.175756568
27446	1266800869126	-122.158747200	47.770745733	6.000000000	76.356885915	113.175756568
28124	1266800871204	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
28816	1266800871207	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
29492	1266800871207	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
30179	1266800873332	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
30854	1266800873333	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
31540	1266800873333	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
32226	1266800875411	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
32902	1266800875412	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
33573	1266800875412	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
34256	1266800877494	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
34949	1266800878230	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
35623	1266800878846	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
36306	1266800878848	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
36993	1266800880025	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
37687	1266800880025	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
38369	1266800881396	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
39061	1266800882119	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
39739	1266800882120	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
40434	1266800882120	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
41112	1266800884216	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
41785	1266800884216	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
42471	1266800884216	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
43668	1266800886337	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
44352	1266800886339	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
45274	1266800888436	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
45956	1266800888437	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
46633	1266800888437	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
47313	1266800890569	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
47993	1266800890570	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
48538	1266800890570	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
49208	1266800892698	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
49892	1266800892702	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
50564	1266800892702	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
51245	1266800892702	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
51956	1266800894823	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
52630	1266800894824	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
53311	1266800894824	-122.158847383	47.771009233	14.000000000	47.421633550	70.281001376
